country_code,smr_key,criterion_id,family,criterion_name,mean_abs_rank_change,importance_score,pairs_compared,eligible_pair_count,small_n
AT,nuscale_voygr6,HI-05,HI,Transport hazards (hazmat road / rail / pipe),0.0,0.0,6,6,False
AT,nuscale_voygr6,HI-07,HI,Electromagnetic interference,0.0,0.0,6,6,False
AT,nuscale_voygr6,HI-08,HI,Other nuclear installations,0.0,0.0,6,6,False
AT,nuscale_voygr6,NH-08,NH,"Coastal flooding (storm surge, tsunami)",0.0,0.0,6,6,False
AT,nuscale_voygr6,NH-09,NH,River flooding,0.0,0.0,6,6,False
AT,nuscale_voygr6,NH-11,NH,"Extreme precipitation (rain, snow, drought)",0.0,0.0,6,6,False
AT,nuscale_voygr6,NH-13,NH,Forest / wildfire,0.0,0.0,6,6,False
AT,nuscale_voygr6,NH-14,NH,Combined hazards,0.0,0.0,6,6,False
AT,nuscale_voygr6,NS-01,NS,Cooling water / ultimate heat sink,0.0,0.0,6,6,False
AT,nuscale_voygr6,NS-06,NS,Existing infrastructure reuse,0.0,0.0,6,6,False
AT,nuscale_voygr6,NS-07,NS,Environmental impact (non-radiological),0.0,0.0,6,6,False
AT,nuscale_voygr6,NS-09,NS,Socioeconomic impact,0.0,0.0,6,6,False
AT,nuscale_voygr6,NS-10,NS,Workforce availability,0.0,0.0,6,6,False
AT,nuscale_voygr6,NS-11,NS,Coal-to-nuclear synergies,0.0,0.0,6,6,False
AT,nuscale_voygr6,NS-12,NS,Regulatory / political environment,0.0,0.0,6,6,False
AT,nuscale_voygr6,NS-13,NS,Construction logistics,0.0,0.0,6,6,False
AT,nuscale_voygr6,RI-01,RI,"Atmospheric dispersion (wind, stability, BLH)",0.0,0.0,6,6,False
AT,nuscale_voygr6,RI-02,RI,Surface water dispersion,0.0,0.0,6,6,False
AT,nuscale_voygr6,RI-03,RI,Groundwater dispersion,0.0,0.0,6,6,False
BA,nuscale_voygr6,HI-01,HI,Aircraft crash hazard,0.6667,0.1111,6,6,False
BA,nuscale_voygr6,RI-06,RI,Population projections (60-yr design life),0.6667,0.1111,6,6,False
BA,nuscale_voygr6,EP-04,EP,"Special populations (hospitals, prisons, care homes)",0.3333,0.0555,6,6,False
BA,nuscale_voygr6,HI-06,HI,Military installations,0.3333,0.0555,6,6,False
BA,nuscale_voygr6,HI-07,HI,Electromagnetic interference,0.3333,0.0555,6,6,False
BA,nuscale_voygr6,NS-03,NS,Transport access (heavy haul road / rail / port),0.3333,0.0555,6,6,False
BA,nuscale_voygr6,RI-04,RI,Population density (EPZ rings),0.3333,0.0555,6,6,False
BA,nuscale_voygr6,BF-02,BF,Land / nuclear-island footprint,0.0,0.0,6,6,False
BA,nuscale_voygr6,EP-02,EP,Evacuation routes (road network),0.0,0.0,6,6,False
BA,nuscale_voygr6,EP-03,EP,Physical-geography constraints,0.0,0.0,6,6,False
BA,nuscale_voygr6,EP-05,EP,Concurrent-hazard impact on EP,0.0,0.0,6,6,False
BA,nuscale_voygr6,HI-02,HI,Industrial explosions (Seveso / IED),0.0,0.0,6,6,False
BA,nuscale_voygr6,HI-03,HI,Toxic / gas releases,0.0,0.0,6,6,False
BA,nuscale_voygr6,HI-04,HI,External fires,0.0,0.0,6,6,False
BA,nuscale_voygr6,HI-05,HI,Transport hazards (hazmat road / rail / pipe),0.0,0.0,6,6,False
BA,nuscale_voygr6,HI-08,HI,Other nuclear installations,0.0,0.0,6,6,False
BA,nuscale_voygr6,NH-01,NH,Seismic ground motion (PGA),0.0,0.0,6,6,False
BA,nuscale_voygr6,NH-05,NH,Subsidence / karst / mining / oil & gas,0.0,0.0,6,6,False
BA,nuscale_voygr6,NH-06,NH,"Foundation conditions (bearing, bedrock, groundwater)",0.0,0.0,6,6,False
BA,nuscale_voygr6,NH-08,NH,"Coastal flooding (storm surge, tsunami)",0.0,0.0,6,6,False
BA,nuscale_voygr6,NH-09,NH,River flooding,0.0,0.0,6,6,False
BA,nuscale_voygr6,NH-10,NH,Extreme winds,0.0,0.0,6,6,False
BA,nuscale_voygr6,NH-11,NH,"Extreme precipitation (rain, snow, drought)",0.0,0.0,6,6,False
BA,nuscale_voygr6,NH-12,NH,Extreme temperatures,0.0,0.0,6,6,False
BA,nuscale_voygr6,NH-13,NH,Forest / wildfire,0.0,0.0,6,6,False
BA,nuscale_voygr6,NH-14,NH,Combined hazards,0.0,0.0,6,6,False
BA,nuscale_voygr6,NS-01,NS,Cooling water / ultimate heat sink,0.0,0.0,6,6,False
BA,nuscale_voygr6,NS-02,NS,Grid connection (detailed),0.0,0.0,6,6,False
BA,nuscale_voygr6,NS-04,NS,Site topography / grading,0.0,0.0,6,6,False
BA,nuscale_voygr6,NS-05,NS,Land availability / ownership / zoning,0.0,0.0,6,6,False
BA,nuscale_voygr6,NS-06,NS,Existing infrastructure reuse,0.0,0.0,6,6,False
BA,nuscale_voygr6,NS-07,NS,Environmental impact (non-radiological),0.0,0.0,6,6,False
BA,nuscale_voygr6,NS-09,NS,Socioeconomic impact,0.0,0.0,6,6,False
BA,nuscale_voygr6,NS-10,NS,Workforce availability,0.0,0.0,6,6,False
BA,nuscale_voygr6,NS-11,NS,Coal-to-nuclear synergies,0.0,0.0,6,6,False
BA,nuscale_voygr6,NS-12,NS,Regulatory / political environment,0.0,0.0,6,6,False
BA,nuscale_voygr6,NS-13,NS,Construction logistics,0.0,0.0,6,6,False
BA,nuscale_voygr6,RI-01,RI,"Atmospheric dispersion (wind, stability, BLH)",0.0,0.0,6,6,False
BA,nuscale_voygr6,RI-02,RI,Surface water dispersion,0.0,0.0,6,6,False
BA,nuscale_voygr6,RI-03,RI,Groundwater dispersion,0.0,0.0,6,6,False
BA,nuscale_voygr6,RI-05,RI,Distance to large population centres (>50 k),0.0,0.0,6,6,False
BG,nuscale_voygr6,HI-01,HI,Aircraft crash hazard,0.75,0.0938,8,8,False
BG,nuscale_voygr6,NS-01,NS,Cooling water / ultimate heat sink,0.75,0.0938,8,8,False
BG,nuscale_voygr6,HI-03,HI,Toxic / gas releases,0.5,0.0625,8,8,False
BG,nuscale_voygr6,NH-01,NH,Seismic ground motion (PGA),0.5,0.0625,8,8,False
BG,nuscale_voygr6,EP-02,EP,Evacuation routes (road network),0.25,0.0312,8,8,False
BG,nuscale_voygr6,EP-04,EP,"Special populations (hospitals, prisons, care homes)",0.25,0.0312,8,8,False
BG,nuscale_voygr6,NS-04,NS,Site topography / grading,0.25,0.0312,8,8,False
BG,nuscale_voygr6,NS-05,NS,Land availability / ownership / zoning,0.25,0.0312,8,8,False
BG,nuscale_voygr6,RI-04,RI,Population density (EPZ rings),0.25,0.0312,8,8,False
BG,nuscale_voygr6,RI-06,RI,Population projections (60-yr design life),0.25,0.0312,8,8,False
BG,nuscale_voygr6,BF-02,BF,Land / nuclear-island footprint,0.0,0.0,8,8,False
BG,nuscale_voygr6,EP-03,EP,Physical-geography constraints,0.0,0.0,8,8,False
BG,nuscale_voygr6,EP-05,EP,Concurrent-hazard impact on EP,0.0,0.0,8,8,False
BG,nuscale_voygr6,HI-02,HI,Industrial explosions (Seveso / IED),0.0,0.0,8,8,False
BG,nuscale_voygr6,HI-04,HI,External fires,0.0,0.0,8,8,False
BG,nuscale_voygr6,HI-05,HI,Transport hazards (hazmat road / rail / pipe),0.0,0.0,8,8,False
BG,nuscale_voygr6,HI-06,HI,Military installations,0.0,0.0,8,8,False
BG,nuscale_voygr6,HI-07,HI,Electromagnetic interference,0.0,0.0,8,8,False
BG,nuscale_voygr6,HI-08,HI,Other nuclear installations,0.0,0.0,8,8,False
BG,nuscale_voygr6,NH-05,NH,Subsidence / karst / mining / oil & gas,0.0,0.0,8,8,False
BG,nuscale_voygr6,NH-06,NH,"Foundation conditions (bearing, bedrock, groundwater)",0.0,0.0,8,8,False
BG,nuscale_voygr6,NH-08,NH,"Coastal flooding (storm surge, tsunami)",0.0,0.0,8,8,False
BG,nuscale_voygr6,NH-09,NH,River flooding,0.0,0.0,8,8,False
BG,nuscale_voygr6,NH-10,NH,Extreme winds,0.0,0.0,8,8,False
BG,nuscale_voygr6,NH-11,NH,"Extreme precipitation (rain, snow, drought)",0.0,0.0,8,8,False
BG,nuscale_voygr6,NH-12,NH,Extreme temperatures,0.0,0.0,8,8,False
BG,nuscale_voygr6,NH-13,NH,Forest / wildfire,0.0,0.0,8,8,False
BG,nuscale_voygr6,NH-14,NH,Combined hazards,0.0,0.0,8,8,False
BG,nuscale_voygr6,NS-02,NS,Grid connection (detailed),0.0,0.0,8,8,False
BG,nuscale_voygr6,NS-03,NS,Transport access (heavy haul road / rail / port),0.0,0.0,8,8,False
BG,nuscale_voygr6,NS-06,NS,Existing infrastructure reuse,0.0,0.0,8,8,False
BG,nuscale_voygr6,NS-07,NS,Environmental impact (non-radiological),0.0,0.0,8,8,False
BG,nuscale_voygr6,NS-09,NS,Socioeconomic impact,0.0,0.0,8,8,False
BG,nuscale_voygr6,NS-10,NS,Workforce availability,0.0,0.0,8,8,False
BG,nuscale_voygr6,NS-11,NS,Coal-to-nuclear synergies,0.0,0.0,8,8,False
BG,nuscale_voygr6,NS-12,NS,Regulatory / political environment,0.0,0.0,8,8,False
BG,nuscale_voygr6,NS-13,NS,Construction logistics,0.0,0.0,8,8,False
BG,nuscale_voygr6,RI-01,RI,"Atmospheric dispersion (wind, stability, BLH)",0.0,0.0,8,8,False
BG,nuscale_voygr6,RI-02,RI,Surface water dispersion,0.0,0.0,8,8,False
BG,nuscale_voygr6,RI-03,RI,Groundwater dispersion,0.0,0.0,8,8,False
BG,nuscale_voygr6,RI-05,RI,Distance to large population centres (>50 k),0.0,0.0,8,8,False
BY,nuscale_voygr6,BF-02,BF,Land / nuclear-island footprint,0.0,0.0,2,2,True
BY,nuscale_voygr6,EP-02,EP,Evacuation routes (road network),0.0,0.0,2,2,True
BY,nuscale_voygr6,EP-03,EP,Physical-geography constraints,0.0,0.0,2,2,True
BY,nuscale_voygr6,EP-04,EP,"Special populations (hospitals, prisons, care homes)",0.0,0.0,2,2,True
BY,nuscale_voygr6,EP-05,EP,Concurrent-hazard impact on EP,0.0,0.0,2,2,True
BY,nuscale_voygr6,HI-01,HI,Aircraft crash hazard,0.0,0.0,2,2,True
BY,nuscale_voygr6,HI-02,HI,Industrial explosions (Seveso / IED),0.0,0.0,2,2,True
BY,nuscale_voygr6,HI-03,HI,Toxic / gas releases,0.0,0.0,2,2,True
BY,nuscale_voygr6,HI-04,HI,External fires,0.0,0.0,2,2,True
BY,nuscale_voygr6,HI-05,HI,Transport hazards (hazmat road / rail / pipe),0.0,0.0,2,2,True
BY,nuscale_voygr6,HI-06,HI,Military installations,0.0,0.0,2,2,True
BY,nuscale_voygr6,HI-07,HI,Electromagnetic interference,0.0,0.0,2,2,True
BY,nuscale_voygr6,HI-08,HI,Other nuclear installations,0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-01,NH,Seismic ground motion (PGA),0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-05,NH,Subsidence / karst / mining / oil & gas,0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-06,NH,"Foundation conditions (bearing, bedrock, groundwater)",0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-08,NH,"Coastal flooding (storm surge, tsunami)",0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-09,NH,River flooding,0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-10,NH,Extreme winds,0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-11,NH,"Extreme precipitation (rain, snow, drought)",0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-12,NH,Extreme temperatures,0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-13,NH,Forest / wildfire,0.0,0.0,2,2,True
BY,nuscale_voygr6,NH-14,NH,Combined hazards,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-01,NS,Cooling water / ultimate heat sink,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-02,NS,Grid connection (detailed),0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-03,NS,Transport access (heavy haul road / rail / port),0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-04,NS,Site topography / grading,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-05,NS,Land availability / ownership / zoning,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-06,NS,Existing infrastructure reuse,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-07,NS,Environmental impact (non-radiological),0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-09,NS,Socioeconomic impact,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-10,NS,Workforce availability,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-11,NS,Coal-to-nuclear synergies,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-12,NS,Regulatory / political environment,0.0,0.0,2,2,True
BY,nuscale_voygr6,NS-13,NS,Construction logistics,0.0,0.0,2,2,True
BY,nuscale_voygr6,RI-01,RI,"Atmospheric dispersion (wind, stability, BLH)",0.0,0.0,2,2,True
BY,nuscale_voygr6,RI-02,RI,Surface water dispersion,0.0,0.0,2,2,True
BY,nuscale_voygr6,RI-03,RI,Groundwater dispersion,0.0,0.0,2,2,True
BY,nuscale_voygr6,RI-04,RI,Population density (EPZ rings),0.0,0.0,2,2,True
BY,nuscale_voygr6,RI-05,RI,Distance to large population centres (>50 k),0.0,0.0,2,2,True
BY,nuscale_voygr6,RI-06,RI,Population projections (60-yr design life),0.0,0.0,2,2,True
CZ,nuscale_voygr6,RI-05,RI,Distance to large population centres (>50 k),3.3793,0.1165,29,29,False
CZ,nuscale_voygr6,NS-02,NS,Grid connection (detailed),1.8621,0.0642,29,29,False
CZ,nuscale_voygr6,NH-05,NH,Subsidence / karst / mining / oil & gas,1.1724,0.0404,29,29,False
CZ,nuscale_voygr6,EP-03,EP,Physical-geography constraints,0.8966,0.0309,29,29,False
CZ,nuscale_voygr6,NH-01,NH,Seismic ground motion (PGA),0.8276,0.0285,29,29,False
CZ,nuscale_voygr6,NS-03,NS,Transport access (heavy haul road / rail / port),0.8276,0.0285,29,29,False
CZ,nuscale_voygr6,NS-04,NS,Site topography / grading,0.8276,0.0285,29,29,False
CZ,nuscale_voygr6,RI-06,RI,Population projections (60-yr design life),0.8276,0.0285,29,29,False
CZ,nuscale_voygr6,NS-05,NS,Land availability / ownership / zoning,0.7586,0.0262,29,29,False
CZ,nuscale_voygr6,EP-04,EP,"Special populations (hospitals, prisons, care homes)",0.4828,0.0166,29,29,False
CZ,nuscale_voygr6,NS-01,NS,Cooling water / ultimate heat sink,0.4828,0.0166,29,29,False
CZ,nuscale_voygr6,RI-04,RI,Population density (EPZ rings),0.4828,0.0166,29,29,False
CZ,nuscale_voygr6,NH-06,NH,"Foundation conditions (bearing, bedrock, groundwater)",0.4138,0.0143,29,29,False
CZ,nuscale_voygr6,HI-01,HI,Aircraft crash hazard,0.3448,0.0119,29,29,False
CZ,nuscale_voygr6,HI-06,HI,Military installations,0.3448,0.0119,29,29,False
CZ,nuscale_voygr6,EP-02,EP,Evacuation routes (road network),0.2759,0.0095,29,29,False
CZ,nuscale_voygr6,NH-10,NH,Extreme winds,0.2759,0.0095,29,29,False
CZ,nuscale_voygr6,NH-11,NH,"Extreme precipitation (rain, snow, drought)",0.2759,0.0095,29,29,False
CZ,nuscale_voygr6,HI-03,HI,Toxic / gas releases,0.2069,0.0071,29,29,False
CZ,nuscale_voygr6,NH-09,NH,River flooding,0.2069,0.0071,29,29,False
CZ,nuscale_voygr6,HI-02,HI,Industrial explosions (Seveso / IED),0.069,0.0024,29,29,False
CZ,nuscale_voygr6,HI-04,HI,External fires,0.069,0.0024,29,29,False
CZ,nuscale_voygr6,HI-07,HI,Electromagnetic interference,0.069,0.0024,29,29,False
CZ,nuscale_voygr6,NH-08,NH,"Coastal flooding (storm surge, tsunami)",0.069,0.0024,29,29,False
CZ,nuscale_voygr6,NH-12,NH,Extreme temperatures,0.069,0.0024,29,29,False
CZ,nuscale_voygr6,RI-03,RI,Groundwater dispersion,0.069,0.0024,29,29,False
CZ,nuscale_voygr6,BF-02,BF,Land / nuclear-island footprint,0.0,0.0,29,29,False
CZ,nuscale_voygr6,EP-05,EP,Concurrent-hazard impact on EP,0.0,0.0,29,29,False
CZ,nuscale_voygr6,HI-05,HI,Transport hazards (hazmat road / rail / pipe),0.0,0.0,29,29,False
CZ,nuscale_voygr6,HI-08,HI,Other nuclear installations,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NH-13,NH,Forest / wildfire,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NH-14,NH,Combined hazards,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NS-06,NS,Existing infrastructure reuse,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NS-07,NS,Environmental impact (non-radiological),0.0,0.0,29,29,False
CZ,nuscale_voygr6,NS-09,NS,Socioeconomic impact,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NS-10,NS,Workforce availability,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NS-11,NS,Coal-to-nuclear synergies,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NS-12,NS,Regulatory / political environment,0.0,0.0,29,29,False
CZ,nuscale_voygr6,NS-13,NS,Construction logistics,0.0,0.0,29,29,False
CZ,nuscale_voygr6,RI-01,RI,"Atmospheric dispersion (wind, stability, BLH)",0.0,0.0,29,29,False
CZ,nuscale_voygr6,RI-02,RI,Surface water dispersion,0.0,0.0,29,29,False
HR,nuscale_voygr6,BF-02,BF,Land / nuclear-island footprint,0.0,0.0,1,1,True
HR,nuscale_voygr6,EP-02,EP,Evacuation routes (road network),0.0,0.0,1,1,True
HR,nuscale_voygr6,EP-03,EP,Physical-geography constraints,0.0,0.0,1,1,True
HR,nuscale_voygr6,EP-04,EP,"Special populations (hospitals, prisons, care homes)",0.0,0.0,1,1,True
HR,nuscale_voygr6,EP-05,EP,Concurrent-hazard impact on EP,0.0,0.0,1,1,True
HR,nuscale_voygr6,HI-01,HI,Aircraft crash hazard,0.0,0.0,1,1,True
HR,nuscale_voygr6,HI-02,HI,Industrial explosions (Seveso / IED),0.0,0.0,1,1,True
HR,nuscale_voygr6,HI-03,HI,Toxic / gas releases,0.0,0.0,1,1,True
HR,nuscale_voygr6,HI-04,HI,External fires,0.0,0.0,1,1,True
HR,nuscale_voygr6,HI-05,HI,Transport hazards (hazmat road / rail / pipe),0.0,0.0,1,1,True
HR,nuscale_voygr6,HI-06,HI,Military installations,0.0,0.0,1,1,True
HR,nuscale_voygr6,HI-07,HI,Electromagnetic interference,0.0,0.0,1,1,True
HR,nuscale_voygr6,HI-08,HI,Other nuclear installations,0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-01,NH,Seismic ground motion (PGA),0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-05,NH,Subsidence / karst / mining / oil & gas,0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-06,NH,"Foundation conditions (bearing, bedrock, groundwater)",0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-08,NH,"Coastal flooding (storm surge, tsunami)",0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-09,NH,River flooding,0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-10,NH,Extreme winds,0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-11,NH,"Extreme precipitation (rain, snow, drought)",0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-12,NH,Extreme temperatures,0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-13,NH,Forest / wildfire,0.0,0.0,1,1,True
HR,nuscale_voygr6,NH-14,NH,Combined hazards,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-01,NS,Cooling water / ultimate heat sink,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-02,NS,Grid connection (detailed),0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-03,NS,Transport access (heavy haul road / rail / port),0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-04,NS,Site topography / grading,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-05,NS,Land availability / ownership / zoning,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-06,NS,Existing infrastructure reuse,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-07,NS,Environmental impact (non-radiological),0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-09,NS,Socioeconomic impact,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-10,NS,Workforce availability,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-11,NS,Coal-to-nuclear synergies,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-12,NS,Regulatory / political environment,0.0,0.0,1,1,True
HR,nuscale_voygr6,NS-13,NS,Construction logistics,0.0,0.0,1,1,True
HR,nuscale_voygr6,RI-01,RI,"Atmospheric dispersion (wind, stability, BLH)",0.0,0.0,1,1,True
HR,nuscale_voygr6,RI-02,RI,Surface water dispersion,0.0,0.0,1,1,True
HR,nuscale_voygr6,RI-03,RI,Groundwater dispersion,0.0,0.0,1,1,True
HR,nuscale_voygr6,RI-04,RI,Population density (EPZ rings),0.0,0.0,1,1,True
HR,nuscale_voygr6,RI-05,RI,Distance to large population centres (>50 k),0.0,0.0,1,1,True
HR,nuscale_voygr6,RI-06,RI,Population projections (60-yr design life),0.0,0.0,1,1,True
HU,nuscale_voygr6,NS-01,NS,Cooling water / ultimate heat sink,0.7273,0.0661,11,11,False
HU,nuscale_voygr6,RI-05,RI,Distance to large population centres (>50 k),0.7273,0.0661,11,11,False
HU,nuscale_voygr6,NH-05,NH,Subsidence / karst / mining / oil & gas,0.5455,0.0496,11,11,False
HU,nuscale_voygr6,NS-05,NS,Land availability / ownership / zoning,0.5455,0.0496,11,11,False
HU,nuscale_voygr6,EP-03,EP,Physical-geography constraints,0.3636,0.0331,11,11,False
HU,nuscale_voygr6,NS-04,NS,Site topography / grading,0.3636,0.0331,11,11,False
HU,nuscale_voygr6,RI-06,RI,Population projections (60-yr design life),0.3636,0.0331,11,11,False
HU,nuscale_voygr6,EP-02,EP,Evacuation routes (road network),0.1818,0.0165,11,11,False
HU,nuscale_voygr6,HI-03,HI,Toxic / gas releases,0.1818,0.0165,11,11,False
HU,nuscale_voygr6,HI-06,HI,Military installations,0.1818,0.0165,11,11,False
HU,nuscale_voygr6,NS-02,NS,Grid connection (detailed),0.1818,0.0165,11,11,False
HU,nuscale_voygr6,NS-03,NS,Transport access (heavy haul road / rail / port),0.1818,0.0165,11,11,False
HU,nuscale_voygr6,BF-02,BF,Land / nuclear-island footprint,0.0,0.0,11,11,False
HU,nuscale_voygr6,EP-04,EP,"Special populations (hospitals, prisons, care homes)",0.0,0.0,11,11,False
HU,nuscale_voygr6,EP-05,EP,Concurrent-hazard impact on EP,0.0,0.0,11,11,False
HU,nuscale_voygr6,HI-01,HI,Aircraft crash hazard,0.0,0.0,11,11,False
HU,nuscale_voygr6,HI-02,HI,Industrial explosions (Seveso / IED),0.0,0.0,11,11,False
HU,nuscale_voygr6,HI-04,HI,External fires,0.0,0.0,11,11,False
HU,nuscale_voygr6,HI-05,HI,Transport hazards (hazmat road / rail / pipe),0.0,0.0,11,11,False
HU,nuscale_voygr6,HI-07,HI,Electromagnetic interference,0.0,0.0,11,11,False
HU,nuscale_voygr6,HI-08,HI,Other nuclear installations,0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-01,NH,Seismic ground motion (PGA),0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-06,NH,"Foundation conditions (bearing, bedrock, groundwater)",0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-08,NH,"Coastal flooding (storm surge, tsunami)",0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-09,NH,River flooding,0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-10,NH,Extreme winds,0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-11,NH,"Extreme precipitation (rain, snow, drought)",0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-12,NH,Extreme temperatures,0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-13,NH,Forest / wildfire,0.0,0.0,11,11,False
HU,nuscale_voygr6,NH-14,NH,Combined hazards,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-06,NS,Existing infrastructure reuse,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-07,NS,Environmental impact (non-radiological),0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-09,NS,Socioeconomic impact,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-10,NS,Workforce availability,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-11,NS,Coal-to-nuclear synergies,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-12,NS,Regulatory / political environment,0.0,0.0,11,11,False
HU,nuscale_voygr6,NS-13,NS,Construction logistics,0.0,0.0,11,11,False
HU,nuscale_voygr6,RI-01,RI,"Atmospheric dispersion (wind, stability, BLH)",0.0,0.0,11,11,False
HU,nuscale_voygr6,RI-02,RI,Surface water dispersion,0.0,0.0,11,11,False
HU,nuscale_voygr6,RI-03,RI,Groundwater dispersion,0.0,0.0,11,11,False
HU,nuscale_voygr6,RI-04,RI,Population density (EPZ rings),0.0,0.0,11,11,False
LV,nuscale_voygr6,BF-02,BF,Land / nuclear-island footprint,0.0,0.0,1,1,True
LV,nuscale_voygr6,EP-02,EP,Evacuation routes (road network),0.0,0.0,1,1,True
LV,nuscale_voygr6,EP-03,EP,Physical-geography constraints,0.0,0.0,1,1,True
